[2026-06-06 18:34:15] ADS value: 0.00, Ver: 106
[2026-06-06 18:34:15] Starting SIM4G OTA download to Quectel RAM...
[2026-06-06 18:55:32] ADS value: 0.00, Ver: 106
[2026-06-06 18:57:23] ADS value: 0.00, Ver: 106
[2026-06-06 19:06:40] ADS value: 0.00, Ver: 106
[2026-06-06 19:14:43] ADS value: 0.00, Ver: 106
[2026-06-06 20:01:49] ADS value: 0.00, Ver: 106
[2026-06-06 20:02:52] ADS value: 0.00, Ver: 106
[2026-06-06 20:03:54] ADS value: 0.00, Ver: 106
[2026-06-06 20:04:55] ADS value: 0.00, Ver: 106
[2026-06-08 07:55:27] ADS value: 0.00, Ver: 106
[2026-06-08 07:57:34] ADS value: 0.00, Ver: 106
[2026-06-08 08:31:21] ADS value: 0.00, Ver: 106
[2026-06-08 08:33:31] ADS value: 0.00, Ver: 106
[2026-06-08 08:40:43] ADS value: 0.00, Ver: 106
[2026-06-08 11:13:10] ADS value: 0.00, Ver: 106
[2026-06-08 11:45:25] ADS value: 0.00, Ver: 106
[2026-06-08 17:19:06] ADS value: 0.00, Ver: 106
[2026-06-08 17:31:19] ADS value: 0.00, Ver: 106
[2026-06-08 17:33:18] ADS value: 0.00, Ver: 106
[2026-06-08 17:40:37] ADS value: 0.00, Ver: 106
[2026-06-08 17:44:23] ADS value: 0.00, Ver: 106
[2026-06-08 18:38:47] ADS value: 0.00, Ver: 106
[2026-06-09 07:08:16] ADS value: 4.57, Ver: 106
[2026-06-11 09:08:24] ADS value: 24.64, Ver: 106
[2026-06-12 09:08:28] ADS value: 25.08, Ver: 106
[2026-06-13 09:08:31] ADS value: 25.87, Ver: 106
[2026-06-14 09:08:34] ADS value: 24.97, Ver: 106
[2026-06-15 09:08:38] ADS value: 24.49, Ver: 106
[2026-06-16 09:08:41] ADS value: 24.50, Ver: 106
[2026-06-22 12:06:27] ADS value: 23.80, Ver: 106
[2026-06-25 10:16:34] ADS value: 25.17, Ver: 106
[2026-06-27 06:18:18] running_front
[2026-06-29 13:33:41] ADS value: 22.10, Ver: 106
[2026-06-29 16:19:01] ADS value: 22.10, Ver: 106
[2026-07-07 10:17:14] ADS value: 24.67, Ver: 106
[2026-07-08 10:17:20] ADS value: 24.88, Ver: 106
[2026-07-09 10:17:24] ADS value: 25.26, Ver: 106
[2026-07-11 13:20:54] running_opposite
[2026-07-12 14:24:59] ADS value: 24.69, Ver: 106
