[2026-07-26 09:21:26] Boot complete
[2026-07-26 09:21:46] ADS value: 0.00, Ver: 106
[2026-07-26 09:22:18] ADS value: 0.00, Ver: 106
[2026-07-26 09:22:49] ADS value: 0.00, Ver: 106
[2026-07-26 09:23:58] ADS value: 0.00, Ver: 106
[2026-07-26 09:24:27] ADS value: 0.00, Ver: 106
[2026-07-26 09:25:01] ADS value: 0.00, Ver: 106
[2026-07-26 09:25:32] ADS value: 0.00, Ver: 106
[2026-07-26 09:26:03] ADS value: 0.00, Ver: 106
[2026-07-26 09:26:34] ADS value: 0.00, Ver: 106
[2026-07-26 09:27:05] ADS value: 0.00, Ver: 106
[2026-07-26 09:27:36] ADS value: 0.00, Ver: 106
[2026-07-26 09:35:55] ADS value: 0.00, Ver: 106
[2026-07-26 09:36:26] ADS value: 0.00, Ver: 106
[2026-07-26 09:36:57] ADS value: 0.00, Ver: 106
[2026-07-26 09:37:29] ADS value: 0.00, Ver: 106
[2026-07-26 09:38:00] ADS value: 0.00, Ver: 106
[2026-07-26 09:38:31] ADS value: 0.00, Ver: 106
[2026-07-26 09:39:16] ADS value: 0.00, Ver: 106
[2026-07-26 09:40:13] ADS value: 0.00, Ver: 106
[2026-07-26 09:40:45] ADS value: 0.00, Ver: 106
[2026-07-26 09:41:18] ADS value: 0.00, Ver: 106
[2026-07-26 09:41:49] ADS value: 0.00, Ver: 106
[2026-07-26 09:42:55] ADS value: 0.00, Ver: 106
[2026-07-26 09:43:36] ADS value: 0.00, Ver: 106
[2026-07-26 09:44:02] ADS value: 0.00, Ver: 106
[2026-07-26 09:44:34] ADS value: 0.00, Ver: 106
[2026-07-26 09:45:07] ADS value: 0.00, Ver: 106
[2026-07-26 09:45:38] ADS value: 0.00, Ver: 106
[2026-07-26 09:46:09] ADS value: 0.00, Ver: 106
[2026-07-26 09:46:40] ADS value: 0.00, Ver: 106
[2026-07-26 09:47:11] ADS value: 0.00, Ver: 106
[2026-07-26 09:47:42] ADS value: 0.00, Ver: 106
[2026-07-26 09:48:12] ADS value: 0.00, Ver: 106
[2026-07-26 09:48:43] ADS value: 0.00, Ver: 106
[2026-07-26 09:49:14] ADS value: 0.00, Ver: 106
[2026-07-26 09:49:45] ADS value: 0.00, Ver: 106
[2026-07-26 09:50:16] ADS value: 0.00, Ver: 106
