[2026-07-13 12:04:08] Boot complete
[2026-07-13 12:04:28] ADS value: 24.97, Ver: 109
[2026-07-13 12:05:00] ADS value: 24.67, Ver: 109
[2026-07-13 12:06:33] ADS value: 22.04, Ver: 109
[2026-07-13 12:07:05] ADS value: 21.97, Ver: 109
[2026-07-13 12:07:36] ADS value: 21.94, Ver: 109
[2026-07-13 12:08:08] ADS value: 21.93, Ver: 109
[2026-07-13 12:08:39] ADS value: 21.93, Ver: 109
[2026-07-13 12:09:11] ADS value: 21.92, Ver: 109
[2026-07-13 12:09:42] ADS value: 21.92, Ver: 109
[2026-07-13 12:10:14] ADS value: 21.92, Ver: 109
[2026-07-13 12:10:46] ADS value: 21.92, Ver: 109
[2026-07-13 12:11:17] ADS value: 21.92, Ver: 109
[2026-07-13 12:11:49] ADS value: 21.92, Ver: 109
[2026-07-13 12:12:21] ADS value: 21.91, Ver: 109
[2026-07-13 12:12:52] ADS value: 21.92, Ver: 109
[2026-07-13 12:13:24] ADS value: 21.91, Ver: 109
[2026-07-13 12:13:55] ADS value: 21.91, Ver: 109
[2026-07-13 12:14:27] ADS value: 21.91, Ver: 109
[2026-07-13 12:14:59] ADS value: 21.91, Ver: 109
[2026-07-13 12:15:30] ADS value: 21.91, Ver: 109
[2026-07-13 12:16:02] ADS value: 21.90, Ver: 109
[2026-07-13 12:16:34] ADS value: 21.90, Ver: 109
[2026-07-13 12:17:06] ADS value: 21.90, Ver: 109
[2026-07-13 12:17:37] ADS value: 21.90, Ver: 109
[2026-07-13 12:18:09] ADS value: 21.90, Ver: 109
[2026-07-13 12:18:41] ADS value: 21.90, Ver: 109
[2026-07-13 12:19:12] ADS value: 21.90, Ver: 109
[2026-07-13 12:19:44] ADS value: 21.89, Ver: 109
[2026-07-13 12:20:51] ADS value: 21.89, Ver: 109
[2026-07-13 12:21:22] ADS value: 21.89, Ver: 109
[2026-07-13 12:21:53] ADS value: 21.89, Ver: 109
[2026-07-13 12:22:25] ADS value: 21.89, Ver: 109
[2026-07-13 12:22:56] ADS value: 21.89, Ver: 109
[2026-07-13 12:23:28] ADS value: 21.89, Ver: 109
[2026-07-13 12:24:00] ADS value: 21.89, Ver: 109
[2026-07-13 12:24:31] ADS value: 21.88, Ver: 109
[2026-07-13 12:25:03] ADS value: 21.88, Ver: 109
[2026-07-13 12:25:34] ADS value: 21.88, Ver: 109
[2026-07-13 12:26:06] ADS value: 21.88, Ver: 109
[2026-07-13 12:26:37] ADS value: 21.87, Ver: 109
[2026-07-13 12:27:08] ADS value: 21.88, Ver: 109
[2026-07-13 12:27:39] ADS value: 21.87, Ver: 109
[2026-07-13 12:28:11] ADS value: 21.87, Ver: 109
[2026-07-13 12:28:42] ADS value: 21.87, Ver: 109
[2026-07-13 12:29:14] ADS value: 21.87, Ver: 109
[2026-07-13 12:29:45] ADS value: 21.87, Ver: 109
[2026-07-13 12:30:16] ADS value: 21.87, Ver: 109
[2026-07-13 12:30:48] ADS value: 21.86, Ver: 109
[2026-07-13 12:31:19] ADS value: 21.87, Ver: 109
[2026-07-13 12:31:51] ADS value: 21.86, Ver: 109
[2026-07-13 12:32:22] ADS value: 21.86, Ver: 109
[2026-07-13 12:32:54] ADS value: 21.86, Ver: 109
[2026-07-13 12:33:25] ADS value: 21.86, Ver: 109
[2026-07-13 12:33:56] ADS value: 21.86, Ver: 109
[2026-07-13 12:35:03] ADS value: 21.85, Ver: 109
[2026-07-13 12:35:34] ADS value: 21.85, Ver: 109
[2026-07-13 12:36:05] ADS value: 21.85, Ver: 109
[2026-07-13 12:36:37] ADS value: 21.85, Ver: 109
[2026-07-13 12:37:08] ADS value: 21.85, Ver: 109
[2026-07-13 12:37:39] ADS value: 21.85, Ver: 109
[2026-07-13 12:38:11] ADS value: 21.84, Ver: 109
[2026-07-13 12:38:42] ADS value: 21.85, Ver: 109
[2026-07-13 12:39:13] ADS value: 21.85, Ver: 109
[2026-07-13 12:39:44] ADS value: 21.84, Ver: 109
[2026-07-13 12:40:15] ADS value: 21.84, Ver: 109
[2026-07-13 12:40:47] ADS value: 21.84, Ver: 109
[2026-07-13 12:41:18] ADS value: 21.84, Ver: 109
