[2026-07-02 11:33:37] ADS value: 23.71, Ver: 106
[2026-07-02 11:34:08] ADS value: 23.71, Ver: 106
[2026-07-02 11:34:43] ADS value: 23.72, Ver: 106
[2026-07-02 11:37:16] ADS value: 23.71, Ver: 106
[2026-07-02 11:37:46] ADS value: 23.72, Ver: 106
[2026-07-02 11:38:17] ADS value: 23.73, Ver: 106
[2026-07-02 11:40:51] ADS value: 23.73, Ver: 106
[2026-07-02 11:43:56] ADS value: 23.74, Ver: 106
[2026-07-02 11:44:57] ADS value: 23.74, Ver: 106
[2026-07-02 11:45:27] ADS value: 23.74, Ver: 106
[2026-07-02 11:47:58] ADS value: 23.74, Ver: 106
[2026-07-02 11:48:29] ADS value: 23.75, Ver: 106
[2026-07-02 11:49:00] ADS value: 23.75, Ver: 106
[2026-07-02 11:51:31] ADS value: 23.74, Ver: 106
[2026-07-02 11:52:02] ADS value: 23.75, Ver: 106
[2026-07-02 11:52:33] ADS value: 23.74, Ver: 106
[2026-07-02 11:55:37] ADS value: 23.75, Ver: 106
[2026-07-02 11:56:38] ADS value: 23.73, Ver: 106
[2026-07-02 11:58:39] ADS value: 23.72, Ver: 106
[2026-07-02 11:59:40] ADS value: 23.74, Ver: 106
[2026-07-02 12:00:10] ADS value: 23.73, Ver: 106
[2026-07-02 12:02:42] ADS value: 23.74, Ver: 106
[2026-07-02 12:03:12] ADS value: 23.75, Ver: 106
[2026-07-02 12:03:43] ADS value: 23.72, Ver: 106
[2026-07-02 12:06:14] ADS value: 23.75, Ver: 106
[2026-07-02 12:06:45] ADS value: 23.75, Ver: 106
[2026-07-02 12:07:16] ADS value: 23.74, Ver: 106
[2026-07-02 12:09:47] ADS value: 23.73, Ver: 106
[2026-07-02 12:10:48] ADS value: 23.73, Ver: 106
[2026-07-02 12:13:49] ADS value: 23.74, Ver: 106
[2026-07-02 12:15:24] ADS value: 23.74, Ver: 106
[2026-07-02 12:16:24] ADS value: 23.74, Ver: 106
[2026-07-02 12:19:34] ADS value: 23.74, Ver: 106
[2026-07-02 12:21:35] ADS value: 23.74, Ver: 106
[2026-07-02 12:22:36] ADS value: 23.72, Ver: 106
[2026-07-02 12:23:07] ADS value: 23.73, Ver: 106
[2026-07-02 12:25:38] ADS value: 23.74, Ver: 106
[2026-07-02 12:26:09] ADS value: 23.73, Ver: 106
[2026-07-02 12:26:39] ADS value: 23.74, Ver: 106
[2026-07-02 12:30:15] ADS value: 23.73, Ver: 106
[2026-07-02 12:31:15] ADS value: 23.72, Ver: 106
[2026-07-02 12:31:46] ADS value: 23.73, Ver: 106
[2026-07-02 12:34:17] ADS value: 23.73, Ver: 106
[2026-07-02 12:34:48] ADS value: 23.73, Ver: 106
[2026-07-02 12:35:19] ADS value: 23.72, Ver: 106
[2026-07-02 12:37:50] ADS value: 23.73, Ver: 106
[2026-07-02 12:38:21] ADS value: 23.73, Ver: 106
[2026-07-02 12:38:51] ADS value: 23.73, Ver: 106
[2026-07-02 12:41:23] ADS value: 23.72, Ver: 106
[2026-07-02 12:42:23] ADS value: 23.73, Ver: 106
[2026-07-02 12:45:25] ADS value: 23.72, Ver: 106
[2026-07-02 12:45:56] ADS value: 23.72, Ver: 106
[2026-07-02 12:48:27] ADS value: 23.70, Ver: 106
[2026-07-02 12:48:58] ADS value: 23.72, Ver: 106
[2026-07-02 12:49:28] ADS value: 23.71, Ver: 106
[2026-07-02 12:52:00] ADS value: 23.72, Ver: 106
[2026-07-02 12:52:30] ADS value: 23.71, Ver: 106
[2026-07-02 12:53:01] ADS value: 23.71, Ver: 106
[2026-07-02 12:55:32] ADS value: 23.72, Ver: 106
[2026-07-02 12:56:03] ADS value: 23.72, Ver: 106
[2026-07-02 12:56:34] ADS value: 23.72, Ver: 106
[2026-07-02 12:59:05] ADS value: 23.71, Ver: 106
[2026-07-02 13:00:06] ADS value: 23.71, Ver: 106
[2026-07-02 13:03:07] ADS value: 23.71, Ver: 106
[2026-07-02 13:03:38] ADS value: 23.71, Ver: 106
[2026-07-02 13:06:09] ADS value: 23.71, Ver: 106
[2026-07-02 13:06:40] ADS value: 23.71, Ver: 106
[2026-07-02 13:07:11] ADS value: 23.71, Ver: 106
[2026-07-02 13:10:15] ADS value: 23.71, Ver: 106
[2026-07-02 13:10:46] ADS value: 23.71, Ver: 106
[2026-07-02 13:13:17] ADS value: 23.70, Ver: 106
[2026-07-02 13:14:18] ADS value: 23.71, Ver: 106
[2026-07-02 13:16:19] ADS value: 23.70, Ver: 106
[2026-07-02 13:17:20] ADS value: 23.70, Ver: 106
[2026-07-02 13:17:51] ADS value: 23.70, Ver: 106
[2026-07-02 13:20:22] ADS value: 23.70, Ver: 106
[2026-07-02 13:20:53] ADS value: 23.70, Ver: 106
[2026-07-02 13:21:57] ADS value: 23.70, Ver: 106
[2026-07-02 13:22:58] ADS value: 23.68, Ver: 106
[2026-07-02 13:23:29] ADS value: 23.69, Ver: 106
[2026-07-02 13:26:00] ADS value: 23.70, Ver: 106
[2026-07-02 13:26:31] ADS value: 23.68, Ver: 106
[2026-07-02 13:27:04] ADS value: 23.69, Ver: 106
[2026-07-02 13:29:36] ADS value: 23.69, Ver: 106
[2026-07-02 13:30:07] ADS value: 23.69, Ver: 106
[2026-07-02 13:32:38] ADS value: 23.69, Ver: 106
[2026-07-02 13:33:42] ADS value: 23.69, Ver: 106
[2026-07-02 13:34:43] ADS value: 23.68, Ver: 106
[2026-07-02 13:36:44] ADS value: 23.69, Ver: 106
[2026-07-02 13:37:45] ADS value: 23.69, Ver: 106
[2026-07-02 13:38:16] ADS value: 23.68, Ver: 106
[2026-07-02 13:40:47] ADS value: 23.69, Ver: 106
[2026-07-02 13:41:18] ADS value: 23.69, Ver: 106
[2026-07-02 13:41:49] ADS value: 23.68, Ver: 106
[2026-07-02 13:44:25] ADS value: 23.68, Ver: 106
[2026-07-02 13:46:58] ADS value: 23.68, Ver: 106
[2026-07-02 13:47:28] ADS value: 23.69, Ver: 106
[2026-07-02 13:47:59] ADS value: 23.68, Ver: 106
[2026-07-02 13:50:30] ADS value: 23.68, Ver: 106
[2026-07-02 13:51:01] ADS value: 23.68, Ver: 106
[2026-07-02 13:52:05] ADS value: 23.68, Ver: 106
[2026-07-02 13:52:36] ADS value: 23.68, Ver: 106
[2026-07-02 13:53:06] ADS value: 23.68, Ver: 106
[2026-07-02 13:55:38] ADS value: 23.68, Ver: 106
[2026-07-02 13:56:08] ADS value: 23.68, Ver: 106
[2026-07-02 13:56:39] ADS value: 23.68, Ver: 106
[2026-07-02 13:59:10] ADS value: 23.67, Ver: 106
[2026-07-02 13:59:41] ADS value: 23.68, Ver: 106
[2026-07-02 14:00:12] ADS value: 23.68, Ver: 106
[2026-07-02 14:04:17] ADS value: 23.67, Ver: 106
[2026-07-02 14:04:48] ADS value: 23.68, Ver: 106
[2026-07-02 14:05:18] ADS value: 23.68, Ver: 106
[2026-07-02 14:07:50] ADS value: 23.67, Ver: 106
