[2026-06-10 07:03:49] ADS value: 0.00, Ver: 101
[2026-06-10 07:03:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:03:53] ADS value: 0.00, Ver: 101
[2026-06-10 07:03:55] ADS value: 0.00, Ver: 101
[2026-06-10 07:03:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:03:58] ADS value: 0.00, Ver: 101
[2026-06-10 07:03:59] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:01] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:03] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:04] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:06] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:08] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:09] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:12] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:14] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:16] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:20] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:38] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:40] ADS value: 0.00, Ver: 101
[2026-06-10 07:04:40] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:18] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:18] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:23] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:24] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:26] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:28] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:30] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:31] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:33] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:35] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:37] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:38] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:39] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:43] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:45] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:46] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:48] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:50] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:53] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:55] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:05:59] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:01] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:03] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:06] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:08] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:10] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:11] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:12] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:14] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:16] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:18] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:20] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:22] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:24] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:26] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:28] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:30] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:31] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:33] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:36] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:37] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:44] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:46] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:50] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:54] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:55] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:06:58] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:00] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:01] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:03] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:05] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:06] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:08] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:10] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:12] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:13] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:15] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:20] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:22] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:24] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:26] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:28] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:29] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:31] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:33] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:35] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:37] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:39] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:43] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:44] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:46] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:48] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:49] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:53] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:54] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:57] ADS value: 0.00, Ver: 101
[2026-06-10 07:07:59] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:00] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:02] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:05] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:06] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:08] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:10] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:13] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:14] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:19] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:22] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:24] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:26] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:28] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:30] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:32] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:34] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:36] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:37] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:39] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:42] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:46] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:47] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:49] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:53] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:54] ADS value: 0.00, Ver: 101
[2026-06-10 07:08:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:23] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:25] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:27] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:28] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:30] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:32] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:33] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:35] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:37] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:38] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:39] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:43] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:44] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:46] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:48] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:49] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:53] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:54] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:58] ADS value: 0.00, Ver: 101
[2026-06-10 07:09:59] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:01] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:03] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:05] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:06] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:08] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:10] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:12] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:13] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:15] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:17] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:19] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:20] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:22] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:23] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:25] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:27] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:29] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:30] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:33] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:34] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:36] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:38] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:39] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:41] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:43] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:44] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:49] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:49] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:51] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:52] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:54] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:55] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:56] ADS value: 0.00, Ver: 101
[2026-06-10 07:10:58] ADS value: 0.00, Ver: 101
[2026-06-10 07:11:00] ADS value: 0.00, Ver: 101
[2026-06-10 07:11:01] ADS value: 0.00, Ver: 101
[2026-06-10 07:11:04] ADS value: 0.00, Ver: 101
[2026-06-10 07:11:06] ADS value: 0.00, Ver: 101
