[2026-06-16 08:12:08] ADS value: 23.54, Ver: 106
[2026-06-16 08:12:39] ADS value: 23.54, Ver: 106
[2026-06-16 08:13:10] ADS value: 23.53, Ver: 106
[2026-06-16 08:13:41] ADS value: 23.54, Ver: 106
[2026-06-16 08:14:12] ADS value: 23.54, Ver: 106
[2026-06-16 08:14:43] ADS value: 23.54, Ver: 106
[2026-06-16 08:15:14] ADS value: 23.54, Ver: 106
[2026-06-16 08:15:45] ADS value: 23.53, Ver: 106
[2026-06-16 08:16:21] ADS value: 23.53, Ver: 106
[2026-06-16 08:16:53] ADS value: 23.54, Ver: 106
[2026-06-21 09:54:48] ADS value: 24.27, Ver: 106
[2026-06-21 09:57:19] ADS value: 24.28, Ver: 106
[2026-06-21 09:57:50] ADS value: 24.26, Ver: 106
[2026-06-21 09:58:20] ADS value: 24.28, Ver: 106
[2026-06-21 09:59:40] running_opposite
[2026-06-21 10:02:27] ADS value: 24.28, Ver: 106
[2026-06-21 10:02:58] ADS value: 24.27, Ver: 106
[2026-06-21 10:03:28] ADS value: 24.29, Ver: 106
[2026-06-21 10:05:59] ADS value: 24.28, Ver: 106
[2026-06-21 10:06:30] ADS value: 24.28, Ver: 106
[2026-06-21 10:07:01] ADS value: 24.29, Ver: 106
[2026-06-21 10:09:32] ADS value: 24.28, Ver: 106
[2026-06-21 10:10:33] ADS value: 24.29, Ver: 106
[2026-06-21 10:11:03] ADS value: 24.28, Ver: 106
[2026-06-21 10:13:36] ADS value: 24.29, Ver: 106
[2026-06-21 10:14:40] ADS value: 24.29, Ver: 106
[2026-06-21 10:15:10] ADS value: 24.29, Ver: 106
[2026-06-21 18:31:54] ADS value: 24.09, Ver: 106
[2026-06-21 18:34:21] ADS value: 24.09, Ver: 106
[2026-06-21 18:34:52] ADS value: 24.09, Ver: 106
[2026-06-21 18:35:22] ADS value: 24.10, Ver: 106
[2026-06-22 01:13:07] ADS value: 23.92, Ver: 106
[2026-06-22 01:15:09] ADS value: 23.92, Ver: 106
[2026-06-22 01:16:10] ADS value: 23.92, Ver: 106
[2026-06-22 01:16:41] ADS value: 23.92, Ver: 106
[2026-06-22 01:19:12] ADS value: 23.92, Ver: 106
[2026-06-22 01:19:46] ADS value: 23.92, Ver: 106
[2026-06-22 01:22:31] ADS value: 23.91, Ver: 106
[2026-06-22 01:25:03] ADS value: 23.92, Ver: 106
[2026-06-22 01:25:34] ADS value: 23.92, Ver: 106
[2026-06-22 01:26:04] ADS value: 23.91, Ver: 106
[2026-06-22 06:09:27] ADS value: 23.82, Ver: 106
[2026-06-22 06:10:28] ADS value: 23.82, Ver: 106
[2026-06-22 12:09:24] running_front
[2026-06-22 12:09:31] running_opposite
[2026-06-22 12:11:41] ADS value: 23.76, Ver: 106
[2026-06-22 12:12:11] ADS value: 23.77, Ver: 106
[2026-06-22 12:12:42] ADS value: 23.76, Ver: 106
[2026-06-22 12:15:46] ADS value: 23.77, Ver: 106
[2026-06-22 12:16:47] ADS value: 23.77, Ver: 106
