[2026-06-10 07:04:04] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:06] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:08] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:10] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:12] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:14] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:16] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:20] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:38] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:38] ADS value: 21.75, Ver: 101
[2026-06-10 07:04:40] ADS value: 21.74, Ver: 101
[2026-06-10 07:04:45] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:18] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:18] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:18] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:18] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:20] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:20] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:23] ADS value: 21.74, Ver: 101
[2026-06-10 07:05:25] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:27] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:28] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:30] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:31] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:33] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:35] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:37] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:38] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:41] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:43] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:45] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:46] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:48] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:49] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:51] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:53] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:54] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:56] ADS value: 21.75, Ver: 101
[2026-06-10 07:05:58] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:00] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:02] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:05] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:07] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:09] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:11] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:12] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:14] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:16] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:18] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:20] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:22] ADS value: 21.74, Ver: 101
[2026-06-10 07:06:24] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:26] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:28] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:30] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:31] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:33] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:36] ADS value: 21.75, Ver: 101
[2026-06-10 07:06:37] ADS value: 21.75, Ver: 101
