[2026-07-07 10:54:15] Boot complete
[2026-07-07 10:54:35] ADS value: 4.62, Ver: 106
[2026-07-07 10:55:06] ADS value: 4.42, Ver: 106
[2026-07-07 10:55:32] Boot complete
[2026-07-07 10:55:54] ADS value: 4.87, Ver: 106
[2026-07-07 10:56:18] Boot complete
[2026-07-07 10:56:39] ADS value: 23.88, Ver: 106
[2026-07-07 10:57:10] ADS value: 23.88, Ver: 106
[2026-07-07 10:57:40] ADS value: 23.88, Ver: 106
[2026-07-07 10:58:10] ADS value: 23.89, Ver: 106
[2026-07-07 10:58:41] ADS value: 23.89, Ver: 106
[2026-07-07 10:58:50] running_front
[2026-07-07 11:01:36] Boot complete
[2026-07-07 11:01:58] ADS value: 4.44, Ver: 106
[2026-07-07 11:02:16] Boot complete
[2026-07-07 11:02:40] Boot complete
[2026-07-07 11:03:01] ADS value: 23.90, Ver: 106
[2026-07-07 11:03:32] ADS value: 23.90, Ver: 106
[2026-07-07 11:03:50] running_front
[2026-07-07 11:09:41] running_opposite
[2026-07-07 11:15:32] ADS value: 23.92, Ver: 106
[2026-07-07 11:16:02] ADS value: 23.92, Ver: 106
[2026-07-07 11:16:33] ADS value: 23.92, Ver: 106
[2026-07-07 11:17:04] ADS value: 23.92, Ver: 106
[2026-07-07 11:17:34] ADS value: 23.93, Ver: 106
[2026-07-07 11:18:04] ADS value: 23.92, Ver: 106
[2026-07-07 11:18:35] ADS value: 23.92, Ver: 106
[2026-07-07 11:19:05] ADS value: 23.93, Ver: 106
[2026-07-07 11:19:36] ADS value: 23.92, Ver: 106
[2026-07-07 11:20:06] ADS value: 23.93, Ver: 106
[2026-07-07 11:20:37] ADS value: 23.92, Ver: 106
[2026-07-07 11:21:07] ADS value: 23.93, Ver: 106
[2026-07-07 11:21:38] ADS value: 23.93, Ver: 106
[2026-07-07 11:22:08] ADS value: 23.92, Ver: 106
[2026-07-07 11:22:38] ADS value: 23.93, Ver: 106
[2026-07-07 11:23:09] ADS value: 23.93, Ver: 106
[2026-07-07 11:23:39] ADS value: 23.93, Ver: 106
[2026-07-07 11:24:09] ADS value: 23.93, Ver: 106
[2026-07-07 11:24:40] ADS value: 23.93, Ver: 106
[2026-07-07 11:25:11] ADS value: 23.93, Ver: 106
[2026-07-07 11:25:41] ADS value: 23.93, Ver: 106
[2026-07-07 11:26:11] ADS value: 23.92, Ver: 106
[2026-07-07 11:26:42] ADS value: 23.92, Ver: 106
[2026-07-07 11:27:12] ADS value: 23.92, Ver: 106
[2026-07-07 11:27:43] ADS value: 23.92, Ver: 106
[2026-07-07 11:28:13] ADS value: 23.93, Ver: 106
[2026-07-07 11:28:43] ADS value: 23.93, Ver: 106
[2026-07-07 11:29:14] ADS value: 23.93, Ver: 106
[2026-07-07 11:29:44] ADS value: 23.92, Ver: 106
[2026-07-07 11:30:15] ADS value: 23.93, Ver: 106
[2026-07-07 11:30:46] ADS value: 23.93, Ver: 106
[2026-07-07 11:31:25] Boot complete
[2026-07-07 11:31:44] ADS value: 4.80, Ver: 106
[2026-07-07 11:32:15] ADS value: 4.82, Ver: 106
[2026-07-07 11:32:45] ADS value: 4.40, Ver: 106
[2026-07-07 11:33:16] ADS value: 4.44, Ver: 106
[2026-07-07 11:33:46] ADS value: 4.41, Ver: 106
[2026-07-07 11:34:16] ADS value: 4.42, Ver: 106
[2026-07-07 11:34:47] ADS value: 4.45, Ver: 106
[2026-07-07 11:35:17] ADS value: 4.43, Ver: 106
[2026-07-07 11:35:48] ADS value: 4.41, Ver: 106
[2026-07-07 11:36:18] ADS value: 4.42, Ver: 106
[2026-07-07 11:36:48] ADS value: 4.52, Ver: 106
[2026-07-07 11:37:19] ADS value: 4.41, Ver: 106
[2026-07-07 11:37:49] ADS value: 4.41, Ver: 106
[2026-07-07 11:38:20] ADS value: 4.40, Ver: 106
[2026-07-07 11:38:50] ADS value: 4.41, Ver: 106
[2026-07-07 11:39:21] ADS value: 4.54, Ver: 106
