[2026-07-26 08:15:19] ADS value: 0.00, Ver: 106
[2026-07-26 08:15:49] ADS value: 0.00, Ver: 106
[2026-07-26 08:16:20] ADS value: 0.00, Ver: 106
[2026-07-26 08:17:56] ADS value: 0.00, Ver: 106
[2026-07-26 08:19:28] ADS value: 0.00, Ver: 106
[2026-07-26 08:19:58] ADS value: 0.00, Ver: 106
[2026-07-26 08:20:29] ADS value: 0.00, Ver: 106
[2026-07-26 08:21:00] ADS value: 0.00, Ver: 106
[2026-07-26 08:22:06] ADS value: 0.00, Ver: 106
[2026-07-26 08:22:36] ADS value: 0.00, Ver: 106
[2026-07-26 08:23:07] ADS value: 0.00, Ver: 106
[2026-07-26 08:23:38] ADS value: 0.00, Ver: 106
[2026-07-26 08:24:08] ADS value: 0.00, Ver: 106
[2026-07-26 08:24:39] ADS value: 0.00, Ver: 106
[2026-07-26 08:25:10] ADS value: 0.00, Ver: 106
[2026-07-26 08:25:40] ADS value: 0.00, Ver: 106
[2026-07-26 08:26:11] ADS value: 0.00, Ver: 106
[2026-07-26 08:26:42] ADS value: 0.00, Ver: 106
[2026-07-26 08:27:12] ADS value: 0.00, Ver: 106
[2026-07-26 08:27:43] ADS value: 0.00, Ver: 106
[2026-07-26 08:28:14] ADS value: 0.00, Ver: 106
[2026-07-26 08:28:45] ADS value: 0.00, Ver: 106
[2026-07-26 08:29:19] ADS value: 0.00, Ver: 106
[2026-07-26 08:29:50] ADS value: 0.00, Ver: 106
[2026-07-26 08:30:56] ADS value: 0.00, Ver: 106
[2026-07-26 08:31:26] ADS value: 0.00, Ver: 106
[2026-07-26 08:31:57] ADS value: 0.00, Ver: 106
[2026-07-26 08:32:28] ADS value: 0.00, Ver: 106
[2026-07-26 08:32:58] ADS value: 0.00, Ver: 106
[2026-07-26 08:33:29] ADS value: 0.00, Ver: 106
[2026-07-26 08:34:00] ADS value: 0.00, Ver: 106
[2026-07-26 08:35:06] ADS value: 0.00, Ver: 106
[2026-07-26 08:35:37] ADS value: 0.00, Ver: 106
[2026-07-26 08:36:08] ADS value: 0.00, Ver: 106
[2026-07-26 08:36:38] ADS value: 0.00, Ver: 106
[2026-07-26 08:37:09] ADS value: 0.00, Ver: 106
[2026-07-26 08:37:40] ADS value: 0.00, Ver: 106
[2026-07-26 08:38:10] ADS value: 0.00, Ver: 106
[2026-07-26 08:38:41] ADS value: 0.00, Ver: 106
[2026-07-26 08:39:12] ADS value: 0.00, Ver: 106
[2026-07-26 08:39:42] ADS value: 0.00, Ver: 106
[2026-07-26 08:40:13] ADS value: 0.00, Ver: 106
[2026-07-26 08:40:44] ADS value: 0.00, Ver: 106
[2026-07-26 08:41:15] ADS value: 0.00, Ver: 106
[2026-07-26 08:41:46] ADS value: 0.00, Ver: 106
[2026-07-26 08:42:16] ADS value: 0.00, Ver: 106
[2026-07-26 08:42:47] ADS value: 0.00, Ver: 106
[2026-07-26 08:43:53] ADS value: 0.00, Ver: 106
[2026-07-26 08:44:24] ADS value: 0.00, Ver: 106
[2026-07-26 08:44:55] ADS value: 0.00, Ver: 106
[2026-07-26 08:45:25] ADS value: 0.00, Ver: 106
[2026-07-26 08:45:56] ADS value: 0.00, Ver: 106
[2026-07-26 08:46:27] ADS value: 0.00, Ver: 106
[2026-07-26 08:46:58] ADS value: 0.00, Ver: 106
[2026-07-26 08:48:04] ADS value: 0.00, Ver: 106
[2026-07-26 08:48:35] ADS value: 0.00, Ver: 106
