[2026-04-19 12:06:08] [00006s] [WIFI] Connected! IP: 10.77.144.42 MAC: EC:E3:34:19:76:98
[2026-04-19 12:06:13] [00008s] [INFO] Node Online: Auto-Started Data Collection
[2026-04-19 12:06:13] [00011s] [DATA] VOC: 0.57V
[2026-04-19 12:06:13] [00012s] [DATA] CO: 0 ppm
[2026-04-19 12:06:14] [00013s] [DATA] CO: 0 ppm
[2026-04-19 12:06:14] [00014s] [DATA] CO: 0 ppm
[2026-04-19 12:06:15] [00014s] [DATA] CO: 0 ppm
[2026-04-19 12:06:16] [00015s] [DATA] CO: 0 ppm
[2026-04-19 12:06:17] [00016s] [DATA] CO: 0 ppm
[2026-04-19 12:06:17] [00017s] [DATA] CO: 0 ppm
[2026-04-19 12:06:18] [00017s] [DATA] CO: 0 ppm
[2026-04-19 12:06:19] [00018s] [DATA] CO: 0 ppm
[2026-04-19 12:06:20] [00019s] [DATA] CO: 0 ppm
[2026-04-19 12:06:21] [00020s] [DATA] CO: 0 ppm
[2026-04-19 12:06:21] [00021s] [DATA] CO: 0 ppm
[2026-04-19 12:06:22] [00021s] [DATA] CO: 0 ppm
[2026-04-19 12:06:23] [00022s] [DATA] CO: 0 ppm
[2026-04-19 12:06:23] [00023s] [DATA] CO: 0 ppm
[2026-04-19 12:06:24] [00023s] [DATA] CO: 0 ppm
[2026-04-19 12:06:24] [00024s] [DATA] CO: 0 ppm
[2026-04-19 12:06:25] [00024s] [DATA] CO: 0 ppm
[2026-04-19 12:06:26] [00025s] [DATA] CO: 0 ppm
[2026-04-19 12:06:27] [00026s] [DATA] CO: 0 ppm
[2026-04-19 12:06:28] [00027s] [DATA] CO: 0 ppm
[2026-04-19 12:06:28] [00027s] [DATA] CO: 0 ppm
[2026-04-19 12:06:29] [00028s] [DATA] CO: 0 ppm
[2026-04-19 12:06:30] [00029s] [DATA] CO: 0 ppm
[2026-04-19 12:06:30] [00030s] [DATA] CO: 0 ppm
[2026-04-19 12:06:31] [00030s] [DATA] CO: 0 ppm
[2026-04-19 12:06:32] [00031s] [DATA] CO: 0 ppm
[2026-04-19 12:06:32] [00032s] [DATA] CO: 0 ppm
[2026-04-19 12:06:33] [00032s] [DATA] CO: 0 ppm
[2026-04-19 12:06:34] [00033s] [DATA] CO: 0 ppm
[2026-04-19 12:06:34] [00034s] [DATA] CO: 0 ppm
[2026-04-19 12:06:35] [00034s] [DATA] CO: 0 ppm
[2026-04-19 12:06:36] [00035s] [DATA] CO: 0 ppm
[2026-04-19 12:06:36] [00036s] [DATA] CO: 0 ppm
[2026-04-19 12:06:37] [00036s] [DATA] CO: 0 ppm
[2026-04-19 12:06:38] [00037s] [DATA] CO: 0 ppm
[2026-04-19 12:06:38] [00037s] [DATA] CO: 0 ppm
[2026-04-19 12:06:40] [00039s] [DATA] CO2: 498 ppm
[2026-04-19 12:06:40] [00039s] [DATA] VOC: 0.53V
[2026-04-19 12:06:41] [00040s] [DATA] CO: 0 ppm
[2026-04-19 12:06:41] [00041s] [DATA] CO: 0 ppm
[2026-04-19 12:06:42] [00041s] [DATA] CO: 0 ppm
[2026-04-19 12:06:43] [00042s] [DATA] CO: 0 ppm
[2026-04-19 12:06:43] [00043s] [DATA] CO: 0 ppm
[2026-04-19 12:06:45] [00044s] [DATA] CO2: 498 ppm
[2026-04-19 12:06:45] [00045s] [DATA] VOC: 0.57V
[2026-04-19 12:06:46] [00045s] [DATA] CO: 0 ppm
[2026-04-19 12:06:47] [00046s] [DATA] CO: 0 ppm
[2026-04-19 12:06:47] [00046s] [DATA] CO: 0 ppm
[2026-04-19 12:06:48] [00047s] [DATA] CO: 0 ppm
[2026-04-19 12:06:49] [00048s] [DATA] CO: 0 ppm
[2026-04-19 12:06:49] [00048s] [DATA] CO: 0 ppm
[2026-04-19 12:06:51] [00050s] [DATA] CO2: 498 ppm
[2026-04-19 12:06:51] [00051s] [DATA] VOC: 0.56V
[2026-04-19 12:06:53] [00051s] [DATA] CO: 0 ppm
[2026-04-19 12:06:54] [00053s] [DATA] CO: 0 ppm
[2026-04-19 12:06:55] [00054s] [DATA] CO: 0 ppm
[2026-04-19 12:06:56] [00055s] [DATA] CO: 0 ppm
[2026-04-19 12:06:56] [00056s] [DATA] CO: 0 ppm
[2026-04-19 12:06:57] [00056s] [DATA] CO: 0 ppm
[2026-04-19 12:06:57] [00057s] [DATA] CO: 0 ppm
[2026-04-19 12:06:58] [00057s] [DATA] CO: 0 ppm
[2026-04-19 12:06:59] [00058s] [DATA] CO: 0 ppm
[2026-04-19 12:06:59] [00059s] [DATA] CO: 0 ppm
[2026-04-19 12:07:00] [00059s] [DATA] CO: 0 ppm
[2026-04-19 12:07:02] [00061s] [DATA] CO2: 498 ppm
[2026-04-19 12:07:02] [00062s] [DATA] VOC: 0.55V
[2026-04-19 12:07:03] [00062s] [DATA] CO: 0 ppm
[2026-04-19 12:07:04] [00063s] [DATA] CO: 0 ppm
[2026-04-19 12:07:05] [00064s] [DATA] CO: 0 ppm
[2026-04-19 12:07:05] [00064s] [DATA] CO: 0 ppm
[2026-04-19 12:07:06] [00065s] [DATA] CO: 0 ppm
[2026-04-19 12:07:06] [00066s] [DATA] CO: 0 ppm
[2026-04-19 12:07:07] [00066s] [DATA] CO: 0 ppm
[2026-04-19 12:07:09] [00068s] [DATA] CO2: 498 ppm
[2026-04-19 12:07:10] [00069s] [DATA] VOC: 0.56V
[2026-04-19 12:07:10] [00069s] [DATA] CO: 0 ppm
[2026-04-19 12:07:11] [00070s] [DATA] CO: 0 ppm
[2026-04-19 12:07:12] [00071s] [DATA] CO: 0 ppm
[2026-04-19 12:07:12] [00072s] [DATA] CO: 0 ppm
[2026-04-19 12:07:13] [00072s] [DATA] CO: 0 ppm
[2026-04-19 12:07:14] [00073s] [DATA] CO: 0 ppm
[2026-04-19 12:07:14] [00073s] [DATA] CO: 0 ppm
[2026-04-19 12:07:16] [00075s] [DATA] CO2: 498 ppm
[2026-04-19 12:07:16] [00076s] [DATA] VOC: 0.53V
[2026-04-19 12:07:17] [00076s] [DATA] CO: 0 ppm
[2026-04-19 12:07:18] [00077s] [DATA] CO: 0 ppm
[2026-04-19 12:07:18] [00077s] [DATA] CO: 0 ppm
[2026-04-19 12:07:19] [00078s] [DATA] CO: 0 ppm
[2026-04-19 12:07:20] [00079s] [DATA] CO: 0 ppm
[2026-04-19 12:07:20] [00080s] [DATA] CO: 0 ppm
[2026-04-19 12:07:21] [00080s] [DATA] CO: 0 ppm
[2026-04-19 12:07:22] [00081s] [DATA] CO: 0 ppm
[2026-04-19 12:07:23] [00083s] [DATA] CO2: 572 ppm
[2026-04-19 12:07:24] [00083s] [DATA] VOC: 0.52V
[2026-04-19 12:07:25] [00084s] [DATA] CO: 0 ppm
[2026-04-19 12:07:25] [00084s] [DATA] CO: 0 ppm
[2026-04-19 12:07:26] [00085s] [DATA] CO: 0 ppm
[2026-04-19 12:07:26] [00085s] [DATA] CO: 0 ppm
[2026-04-19 12:07:27] [00086s] [DATA] CO2: 573 ppm
[2026-04-19 12:07:27] [00087s] [DATA] VOC: 0.54V
[2026-04-19 12:07:28] [00087s] [DATA] CO: 0 ppm
[2026-04-19 12:07:29] [00088s] [DATA] CO: 0 ppm
[2026-04-19 12:07:30] [00089s] [DATA] CO: 0 ppm
[2026-04-19 12:07:30] [00090s] [DATA] CO: 0 ppm
[2026-04-19 12:07:32] [00091s] [DATA] CO2: 554 ppm
[2026-04-19 12:07:32] [00092s] [DATA] VOC: 0.58V
[2026-04-19 12:07:34] [00092s] [DATA] CO: 0 ppm
[2026-04-19 12:07:35] [00094s] [DATA] CO: 0 ppm
[2026-04-19 12:07:36] [00095s] [DATA] CO: 0 ppm
[2026-04-19 12:07:37] [00096s] [DATA] CO: 0 ppm
[2026-04-19 12:07:37] [00097s] [DATA] CO: 0 ppm
[2026-04-19 12:07:38] [00097s] [DATA] CO: 0 ppm
[2026-04-19 12:07:39] [00098s] [DATA] CO: 0 ppm
[2026-04-19 12:07:39] [00098s] [DATA] CO: 0 ppm
[2026-04-19 12:07:40] [00099s] [DATA] CO: 0 ppm
[2026-04-19 12:07:40] [00100s] [DATA] CO: 0 ppm
[2026-04-19 12:07:42] [00101s] [DATA] CO2: 562 ppm
[2026-04-19 12:07:42] [00102s] [DATA] VOC: 0.56V
[2026-04-19 12:07:43] [00102s] [DATA] CO: 0 ppm
[2026-04-19 12:07:44] [00103s] [DATA] CO: 0 ppm
[2026-04-19 12:07:44] [00104s] [DATA] CO: 0 ppm
[2026-04-19 12:07:45] [00104s] [DATA] CO: 0 ppm
[2026-04-19 12:07:46] [00105s] [DATA] CO: 0 ppm
[2026-04-19 12:07:50] [00106s] [DATA] CO: 0 ppm
[2026-04-19 12:07:50] [00107s] [DATA] CO: 0 ppm
[2026-04-19 12:07:50] [00108s] [DATA] CO: 0 ppm
[2026-04-19 12:07:51] [00110s] [DATA] CO: 0 ppm
[2026-04-19 12:07:51] [00111s] [DATA] CO: 0 ppm
[2026-04-19 12:07:52] [00111s] [DATA] CO: 0 ppm
[2026-04-19 12:07:53] [00112s] [DATA] CO: 0 ppm
[2026-04-19 12:07:53] [00112s] [DATA] CO: 0 ppm
[2026-04-19 12:07:57] [00117s] [DATA] CO2: 562 ppm
[2026-04-19 12:07:58] [00117s] [DATA] VOC: 0.52V
[2026-04-19 12:07:59] [00118s] [DATA] CO: 0 ppm
[2026-04-19 12:07:59] [00119s] [DATA] CO: 0 ppm
[2026-04-19 12:08:00] [00119s] [DATA] CO: 0 ppm
[2026-04-19 12:08:01] [00120s] [DATA] CO: 0 ppm
[2026-04-19 12:08:01] [00120s] [DATA] CO: 0 ppm
[2026-04-19 12:08:02] [00121s] [DATA] CO: 0 ppm
[2026-04-19 12:08:02] [00121s] [DATA] CO: 0 ppm
